,Unnamed: 0,song name,song singer,song country,song country capital,event year,event country,song lyrics,song music,count participant in the event,amount of participant until this year,victories until this year,number song semi final,place semi final,score semi final,higher point in semi final,smaller point in_semi final,count country semi final,count country vote semi final,count country given semi final,day in week semi final,was in final or not,number song final,place final,score final,higher point in final,smaller point in final,count country final,count country vote final,count country given final,day in week final,song broadcaster,perform on internet,count music,count lyrics,until now be in final,win year before,reached the winning trio
320,320,You And Me,Takasa,Switzerland,Bern,2013,Malmö,"Georg Schlunegger, Roman Camenzind, Fred Herrmann","Georg Schlunegger, Roman Camenzind, Fred Herrmann",39,54,2,16,13,41,10,1,17,11,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,Schweizerische Radio- und Fernsehgesellschaft,2,3,3,46,0,0
321,321,Gravity,Zlata Ognevich,Ukraine,Kyiv,2013,Malmö,Karen Kavaleryan,Mikhail Nekrasov,39,10,1,7,3,140,12,1,16,18,10,Tuesday,1,22,3,214,12,1,26,28,10,Saturday,NTU,3,1,1,10,0,1
322,322,Believe In Me,Bonnie Tyler,United Kingdom,London,2013,Malmö,"Desmond Child, Lauren Christy, Christopher Braide","Desmond Child, Lauren Christy, Christopher Braide",39,55,5,-,-,-,-,-,-,-,-,-,1,15,19,23,7,1,26,7,10,Saturday,British Broadcasting Corporation,3,3,3,55,0,0
323,323,Suus,Rona Nishliu,Albania,Tirana,2012,Baku,Rona Nishliu,Florent Boshnjaku,42,8,0,5,2,146,12,1,18,20,10,Tuesday,1,3,5,146,12,1,26,24,10,Saturday,Radio Televizioni Shqiptar,3,1,1,5,0,0
324,324,Woki Mit Deim Popo,Trackshittaz,Austria,Vienna,2012,Baku,"Lukas Plöchl, Manuel Hoffelner",Lukas Plöchl,42,44,1,16,18,8,5,1,18,3,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,Österreichischer Rundfunk,3,1,2,42,0,0
325,325,When The Music Dies,Sabina Babayeva,Azerbaijan,Baku,2012,Baku,"Anders Bagge, Sandra Bjurman, Stefan Örn, Johan Kronlund","Anders Bagge, Johan Kronlund, Sandra Bjurman, Stefan Örn",42,4,1,-,-,-,-,-,-,-,-,-,1,13,4,150,12,1,26,21,10,Saturday,İctimai Televiziya və Radio Yayımları Şirkəti,3,4,4,4,1,0
326,326,We Are The Heroes,Litesound,Belarus,Minsk,2012,Baku,"Dmitry Kariakin, Vladimir Kariakin","Dmitry Kariakin, Vladimir Kariakin",42,8,0,5,16,35,12,1,18,7,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,Belaruskaja Tele-Radio Campanija,2,2,2,2,0,0
327,327,Would You?,Iris,Belgium,Brussels,2012,Baku,"Nina Sampermans, Jean Bosco Safari, Walter Mannaerts","Nina Sampermans, Jean Bosco Safari, Walter Mannaerts",42,54,1,8,17,16,6,1,18,6,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,Vlaamse Radio- en Televisieomroep,3,3,3,46,0,0
328,328,Korake Ti Znam,Maya Sar,Bosnia & Herzegovina,Sarajevo,2012,Baku,Maja Sarihodžić,Maja Sarihodžić,42,17,0,17,6,77,12,1,18,15,10,Thursday,1,5,18,55,10,1,26,9,10,Saturday,BHRT,3,1,1,17,0,0
329,329,Love Unlimited,Sofi Marinova,Bulgaria,Sofia,2012,Baku,Donka Vasileva,Krum Geopriev & Iasen Kozev,42,7,0,8,11,45,10,2,18,10,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,Bâlgarska Nationalna Televiizija,2,1,1,1,0,0
330,330,Nebo,Nina Badrić,Croatia,Zagreb,2012,Baku,Nina Badrić,Nina Badrić,42,19,0,10,12,42,12,1,18,7,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,Hrvatska Radiotelevizija,3,1,1,16,0,0
331,331,La La Love,Ivi Adamou,Cyprus,Nicosia,2012,Baku,"Alex Papaconstantinou, Bjorn Djupström, Alexandra Zakka & Viktor Svensson","Alex Papaconstantinou, Bjorn Djupström, Alexandra Zakka & Viktor Svensson",42,29,0,12,7,91,12,1,18,15,10,Tuesday,1,8,16,65,12,2,26,11,10,Saturday,Cyprus Broadcasting Corporation,3,3,3,24,0,0
332,332,Should've Known Better,Soluna Samay,Denmark,Copenhagen,2012,Baku,"Chief 1, Remee & Isam B",Chief 1 & Remee,42,40,2,13,9,63,10,1,18,12,10,Tuesday,1,15,23,21,5,2,26,6,10,Saturday,Danmarks Radio,3,1,2,38,0,0
333,333,Kuula,Ott Lepland,Estonia,Tallinn,2012,Baku,Aapo Ilves,Ott Lepland,42,17,1,14,4,100,12,1,18,14,10,Thursday,1,11,6,120,10,1,26,18,10,Saturday,Estonian Public Broadcasting,1,1,1,11,0,0
334,334,När Jag Blundar,Pernilla,Finland,Helsinki,2012,Baku,Jonas Karlsson,Jonas Karlsson,42,45,1,9,12,41,12,1,18,9,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,Yleisradio,3,1,1,42,0,0
335,335,Echo (You And I),Anggun,France,Paris,2012,Baku,William Rousseau & Anggun,Jean Pierre Pilot & William Rousseau,42,55,5,-,-,-,-,-,-,-,-,-,1,9,22,21,6,2,26,6,10,Saturday,France 3,3,1,1,53,0,0
336,336,I'm A Joker,Anri Jokhadze,Georgia,Tbilisi,2012,Baku,Bibi Kvachadze,Rusudan Chkhaidze,42,4,0,12,14,36,12,1,18,6,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,Georgian Public Broadcasting,3,1,1,4,0,0
337,337,Standing Still,Roman Lob,Germany,Berlin,2012,Baku,"Wayne Hector, Jamie Cullum, Steve Robson","Wayne Hector, Jamie Cullum, Steve Robson",42,56,2,-,-,-,-,-,-,-,-,-,1,20,8,110,10,1,26,21,10,Saturday,Norddeutscher Rundfunk,2,3,3,54,0,0
338,338,Aphrodisiac,Eleftheria Eleftheriou,Greece,Athens,2012,Baku,"Dimitri Stassos, Mikaela Stenström, Dajana Lööf","Dimitri Stassos, Mikaela Stenström, Dajana Lööf",42,32,1,3,4,116,12,1,18,17,10,Tuesday,1,16,17,64,12,1,26,15,10,Saturday,Elliniki Radiophonia Tileorassi,3,3,3,32,0,0
339,339,Sound Of Our Hearts,Compact Disco,Hungary,Budapest,2012,Baku,"Behnam Lotfi, Gábor Pál, Attila Sándor, Csaba Walkó","Behnam Lotfi, Gábor Pál, Attila Sándor, Csaba Walkó",42,9,0,15,10,52,8,2,18,10,10,Tuesday,1,2,24,19,8,1,26,5,10,Saturday,Magyar Televízió,3,4,4,7,0,0
340,340,Never Forget,Greta Salóme & Jónsi,Iceland,Reykjavik,2012,Baku,Gréta Salóme,Gréta Salóme,42,24,0,2,8,75,10,1,18,16,10,Tuesday,1,7,20,46,7,1,26,10,10,Saturday,Ríkisútvarpið,2,1,1,21,0,0
341,341,Waterline,Jedward,Ireland,Dublin,2012,Baku,Nick Jarl & Sharon Vaughn,Nick Jarl & Sharon Vaughn,42,45,7,18,6,92,12,1,18,14,10,Tuesday,1,23,19,46,10,1,26,11,10,Saturday,Radio Telefís Éireann,3,1,1,42,0,0
342,342,Time,Izabo,Israel,Jerusalem,2012,Baku,Ran Shem-Tov & Shiri Hadar,Ran Shem-Tov & Shiri Hadar,42,34,3,10,13,33,7,1,18,9,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,IBA,3,1,1,31,0,0
343,343,L'Amore È Femmina (Out Of Love),Nina Zilli,Italy,Rome,2012,Baku,"Nina Zilli, Christian Rabb, Kristoffer Sjökvist, Frida Molander & Charlie Mason","Christian Rabb, Kristoffer Sjökvist, Frida Molander & Charlie Mason",42,38,2,-,-,-,-,-,-,-,-,-,1,10,9,101,10,1,26,25,10,Saturday,Radio Audizioni Italiane,3,3,4,36,0,0
344,344,Beautiful Song,Anmary,Latvia,Riga,2012,Baku,Rolands Ūdris,Ivars Makstnieks,42,12,1,4,16,17,4,2,18,5,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,Latvijas Televīzija,1,1,1,8,0,0
345,345,Love Is Blind,Donny Montell,Lithuania,Vilnius,2012,Baku,Brandon Stone & Jodie Rose,Brandon Stone,42,12,0,18,3,104,10,2,18,17,10,Thursday,1,4,14,70,12,1,26,14,10,Saturday,Lietuvos Nacionalinis Radijas ir Televizija,1,1,1,8,0,0
346,346,This Is The Night,Kurt Calleja,Malta,Valletta,2012,Baku,"Johan Jämtberg, Mikael Gunnerås & Kurt Calleja","Johan Jämtberg, Mikael Gunnerås & Kurt Calleja",42,24,0,4,7,70,12,2,18,15,10,Thursday,1,21,21,41,8,1,26,9,10,Saturday,Public Broadcasting Service of Malta,1,2,2,20,0,0
347,347,Lăutar,Pasha Parfeny,Moldova,Chișinău,2012,Baku,Pasha Parfeny,"Pasha Parfeny, Alex Brashovean",42,7,0,17,5,100,12,2,18,18,10,Tuesday,1,26,11,81,12,1,26,17,10,Saturday,Teleradio-Moldova,3,2,1,6,0,0
348,348,Euro Neuro,Rambo Amadeus,Montenegro,Podgorica,2012,Baku,Rambo Amadeus,Rambo Amadeus,42,3,0,1,15,20,12,8,18,2,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,RTCG,1,1,1,0,0,0
349,349,You And Me,Joan Franka,Netherlands,Amsterdam,2012,Baku,Joan Franka,"Joan Franka, Jessica Hoogenboom",42,53,4,3,15,35,8,1,18,8,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,TROS,3,2,1,44,0,0
350,350,Crno I Belo,Kaliopi,North Macedonia,Skopje,2012,Baku,Kaliopi,Romeo Grill,42,11,0,2,9,53,8,1,18,10,10,Thursday,1,22,13,71,12,1,26,12,10,Saturday,Makedonska Radio Televizija,1,1,1,7,0,0
351,351,Stay,Tooji,Norway,Oslo,2012,Baku,"Tooji, Figge Boström & Peter Boström","Tooji, Figge Boström & Peter Boström",42,50,3,16,10,45,10,1,18,11,10,Thursday,1,12,26,7,3,1,26,3,10,Saturday,Norsk rikskringkasting,3,2,2,48,0,0
352,352,Vida Minha,Filipa Sousa,Portugal,Lisbon,2012,Baku,Carlos Coelho,Andrej Babic,42,45,0,6,13,39,8,1,18,10,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,Radiotelevisão Portuguesa,1,1,1,40,0,0
353,353,Zaleilah,Mandinga,Romania,Bucharest,2012,Baku,"Elena Ionescu, Dihigo Omar Secada, Costi Ionita",Costi Ionita,42,13,0,6,3,120,12,1,18,18,10,Tuesday,1,14,12,71,12,1,26,14,10,Saturday,Televiziunea Română,3,1,3,13,0,0
354,354,Party For Everybody,Buranovskiye Babushki,Russia,Moscow,2012,Baku,"Olga Tuktareva, Marry S. Applegate","Viktor Drobysh, Timofei Leontiev",42,15,1,14,1,152,12,2,18,19,10,Tuesday,1,6,2,259,12,3,26,40,10,Saturday,Телеканал Россия,2,2,2,15,0,1
355,355,The Social Network Song (Oh Oh – Uh - Oh Oh),Valentina Monetta,San Marino,City of San Marino,2012,Baku,Timothy Touchton & José Santana Rodriguez,Ralph Siegel,42,2,0,11,14,31,10,2,18,6,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,Radio Televisione della Repubblica di San Marino,3,1,1,0,0,0
356,356,Nije Ljubav Stvar,Željko Joksimović,Serbia,Belgrade,2012,Baku,Marina Tucaković / Miloš Roganović,Željko Joksimović,42,5,1,1,2,159,12,1,18,19,10,Thursday,1,24,3,214,12,1,26,30,10,Saturday,Radiotelevizija Srbije,3,1,1,4,0,1
357,357,Don't Close Your Eyes,Max Jason Mai,Slovakia,Bratislava,2012,Baku,Max Jason Mai,Max Jason Mai,42,6,0,15,18,22,7,1,18,6,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,STV,3,1,1,3,0,0
358,358,Verjamem,Eva Boto,Slovenia,Ljubljana,2012,Baku,Igor Pirkovič,"Vladimir Graić, Hari Mata Hari",42,17,0,9,17,31,10,4,18,5,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,Radiotelevizija Slovenija,2,2,1,11,0,0
359,359,Quédate Conmigo (Stay With Me),Pastora Soler,Spain,Madrid,2012,Baku,Antonio Sánchez,"Antonio Sánchez, Thomas G:son & Erik Bernholm",42,51,2,-,-,-,-,-,-,-,-,-,1,19,10,97,12,1,26,18,10,Saturday,Televisión Española,1,2,1,51,0,0
360,360,Euphoria,Loreen,Sweden,Stockholm,2012,Baku,Thomas G:son & Peter Boström,Thomas G:son & Peter Boström,42,51,4,11,1,181,12,5,18,20,10,Thursday,1,17,1,372,12,3,26,40,10,Saturday,Sveriges Television,2,1,1,50,0,1
361,361,Unbreakable,Sinplus,Switzerland,Bern,2012,Baku,"Gabriel Broggini, Ivan Broggini","Gabriel Broggini, Ivan Broggini",42,53,2,7,11,45,8,1,18,11,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,Schweizerische Radio- und Fernsehgesellschaft,3,2,2,46,0,0
362,362,Love Me Back,Can Bonomo,Turkey,Ankara,2012,Baku,Can Bonomo,Can Bonomo,42,33,1,13,5,80,12,1,18,14,10,Thursday,1,18,7,112,12,1,26,21,10,Saturday,TRT,3,1,1,32,0,0
363,363,Be My Guest,Gaitana,Ukraine,Kyiv,2012,Baku,Gaitana,Gaitana and KIWI Project,42,9,1,7,8,64,12,1,18,16,10,Thursday,1,25,15,65,10,1,26,16,10,Saturday,NTU,1,1,1,9,0,0
364,364,Love Will Set You Free,Engelbert Humperdinck,United Kingdom,London,2012,Baku,Martin Terefe & Sacha Skarbek,Martin Terefe & Sacha Skarbek,42,54,5,-,-,-,-,-,-,-,-,-,1,1,25,12,5,1,26,4,10,Saturday,British Broadcasting Corporation,3,1,1,54,0,0
365,365,Feel The Passion,Aurela Gaçe,Albania,Tirana,2011,Düsseldorf,Sokol Marsi,Shpetim Saraci,43,7,0,3,14,47,12,2,19,7,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,Radio Televizioni Shqiptar,1,1,1,5,0,0
366,366,Boom Boom,Emmy,Armenia,Yerevan,2011,Düsseldorf,Sosi Khanikyan,"Hayk Harutyunyan, Hayk Hovhannisyan",43,5,0,4,12,54,8,2,19,9,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,ARMTV,1,2,1,5,0,0
367,367,The Secret Is Love,Nadine Beiler,Austria,Vienna,2011,Düsseldorf,Nadine Beiler,Thomas Rabitsch,43,43,1,2,7,69,12,1,19,15,10,Thursday,1,18,18,64,12,1,25,18,10,Saturday,Österreichischer Rundfunk,1,1,1,41,0,0
368,368,Running Scared,Ell/Nikki,Azerbaijan,Baku,2011,Düsseldorf,"Stefan Örn (Razor Boy Music Publishing Sweden), Sandra Bjurman","Stefan Örn (Razor Boy Music Publishing Sweden), Sandra Bjurman, Iain James Farquharson (Sony / ATV UK)",43,3,0,18,2,122,12,1,19,17,10,Tuesday,1,19,1,221,12,1,25,30,10,Saturday,İctimai Televiziya və Radio Yayımları Şirkəti,1,3,2,3,0,1
369,369,I Love Belarus,Anastasiya Vinnikova,Belarus,Minsk,2011,Düsseldorf,"Eugene Oleinik, Svetlana Geraskova",Eugene Oleinik,43,7,0,16,14,45,10,1,19,9,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,Belaruskaja Tele-Radio Campanija,1,1,2,2,0,0
370,370,With Love Baby,Witloof Bay,Belgium,Brussels,2011,Düsseldorf,Benoît Giaux / RoxorLoops,Benoît Giaux / RoxorLoops,43,53,1,4,11,53,8,1,19,13,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,Radio télévision belge de la communauté française,1,1,1,46,0,0
371,371,Love In Rewind,Dino Merlin,Bosnia & Herzegovina,Sarajevo,2011,Düsseldorf,Dino Merlin,Dino Merlin,43,16,0,1,5,109,12,2,19,14,10,Thursday,1,2,6,125,12,2,25,16,10,Saturday,BHRT,1,1,1,16,0,0
372,372,Na Inat,Poli Genova,Bulgaria,Sofia,2011,Düsseldorf,"Sebastian Arman, David Bronner, Borislav Milanov and Poli Genova","Sebastian Arman, David Bronner, Borislav Milanov and Poli Genova",43,6,0,10,12,48,10,1,19,13,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,Bâlgarska Nationalna Televiizija,1,3,3,1,0,0
373,373,Celebrate,Daria,Croatia,Zagreb,2011,Düsseldorf,Boris Djurdjevic & Marina Mudrinić,Boris Djurdjevic,43,18,0,13,15,41,12,1,19,7,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,Hrvatska Radiotelevizija,1,1,1,16,0,0
374,374,San Aggelos S’Agapisa,Christos Mylordos,Cyprus,Nicosia,2011,Düsseldorf,Mihalis Antoniou,Andreas Anastasiou,43,28,0,9,18,16,8,2,19,3,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,Cyprus Broadcasting Corporation,1,1,1,24,0,0
375,375,New Tomorrow,A Friend In London,Denmark,Copenhagen,2011,Düsseldorf,Lise Cabble & Jakob Schack Glæsner,Lise Cabble & Jakob Schack Glæsner,43,39,2,18,2,135,12,1,19,19,10,Thursday,1,3,5,134,12,1,25,19,10,Saturday,Danmarks Radio,1,1,1,37,0,0
376,376,Rockefeller Street,Getter Jaani,Estonia,Tallinn,2011,Düsseldorf,Sven Lõhmus,Sven Lõhmus,43,16,1,15,9,60,10,1,19,11,10,Thursday,1,8,24,44,7,2,25,10,10,Saturday,Estonian Public Broadcasting,1,1,1,10,0,0
377,377,Da Da Dam,Paradise Oskar,Finland,Helsinki,2011,Düsseldorf,Axel Ehnström,Axel Ehnström,43,44,1,10,3,103,12,1,19,15,10,Tuesday,1,1,21,57,12,1,25,10,10,Saturday,Yleisradio,1,1,1,41,0,0
378,378,Sognu,Amaury Vassili,France,Paris,2011,Düsseldorf,"Jean-Pierre Marcellesi, Julie Miller","Daniel Moyne, Quentin Bachelet",43,54,5,-,-,-,-,-,-,-,-,-,1,11,15,82,12,1,25,18,10,Saturday,France 3,1,2,2,52,0,0
379,379,One More Day,Eldrine,Georgia,Tbilisi,2011,Düsseldorf,"DJ Rock, Mikheil Chelidze",DJ BE$$,43,3,0,9,6,74,12,1,19,12,10,Tuesday,1,25,9,110,12,1,25,15,10,Saturday,Georgian Public Broadcasting,1,1,2,3,0,0
380,380,Taken By A Stranger,Lena,Germany,Berlin,2011,Düsseldorf,"Gus Seyffert, Nicole Morier, Monica Birkenes","Gus Seyffert, Nicole Morier, Monica Birkenes",43,55,2,-,-,-,-,-,-,-,-,-,1,16,10,107,10,1,25,20,10,Saturday,Norddeutscher Rundfunk,1,3,3,53,1,0
381,381,Watch My Dance,Loucas Yiorkas feat. Stereo Mike,Greece,Athens,2011,Düsseldorf,Eleana Vrachali,Giannis Christodoulopoulos,43,31,1,19,1,133,12,1,19,19,10,Tuesday,1,9,7,120,12,1,25,18,10,Saturday,Elliniki Radiophonia Tileorassi,1,1,1,31,0,0
382,382,What About My Dreams?,Kati Wolf,Hungary,Budapest,2011,Düsseldorf,"Péter Geszti, Johnny K. Palmer","Viktor Rakonczai, Gergő Rácz",43,8,0,15,7,72,12,1,19,10,10,Tuesday,1,5,22,53,12,2,25,10,10,Saturday,Magyar Televízió,1,2,2,6,0,0
383,383,Coming Home,Sjonni's Friends,Iceland,Reykjavik,2011,Düsseldorf,Thorunn Clausen and Sjonni Brink,Sjonni Brink,43,23,0,14,4,100,12,2,19,13,10,Tuesday,1,21,20,61,12,1,25,11,10,Saturday,Ríkisútvarpið,1,1,1,20,0,0
384,384,Lipstick,Jedward,Ireland,Dublin,2011,Düsseldorf,"Daniel Priddy, Lars Halvor Jensen, Martin Michael Larsson","Daniel Priddy, Lars Halvor Jensen, Martin Michael Larsson",43,44,7,19,8,68,10,1,19,13,10,Thursday,1,6,8,119,12,1,25,17,10,Saturday,Radio Telefís Éireann,1,3,3,41,0,0
385,385,Ding Dong,Dana International,Israel,Jerusalem,2011,Düsseldorf,Dana International,Dana International,43,33,3,12,15,38,7,1,19,9,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,IBA,1,1,1,31,0,0
386,386,Madness Of Love,Raphael Gualazzi,Italy,Rome,2011,Düsseldorf,Raffaele Gualazzi,Raffaele Gualazzi,43,37,2,-,-,-,-,-,-,-,-,-,1,12,2,189,12,1,25,30,10,Saturday,Radio Audizioni Italiane,1,1,1,35,0,1
387,387,Angel In Disguise,Musiqq,Latvia,Riga,2011,Düsseldorf,Marats Ogleznevs,Marats Ogleznevs,43,11,1,17,17,25,8,2,19,6,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,Latvijas Televīzija,1,1,1,8,0,0
388,388,C'est Ma Vie,Evelina Sašenko,Lithuania,Vilnius,2011,Düsseldorf,Andrius Kairys,Paulius Zdanavičius,43,11,0,17,5,81,12,1,19,14,10,Tuesday,1,4,19,63,12,1,25,11,10,Saturday,Lietuvos Nacionalinis Radijas ir Televizija,1,1,1,7,0,0
389,389,One Life,Glen Vella,Malta,Valletta,2011,Düsseldorf,Fleur Balzan,Paul Giordimaina,43,23,0,11,11,54,12,1,19,11,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,Public Broadcasting Service of Malta,1,1,1,20,0,0
390,390,So Lucky,Zdob și Zdub,Moldova,Chișinău,2011,Düsseldorf,"Andy Schuman, Marc Elsner","Mihai Gincu, Marc Elsner",43,6,0,7,10,54,12,1,19,10,10,Thursday,1,15,12,97,12,1,25,16,10,Saturday,Teleradio-Moldova,1,2,2,5,0,0
391,391,Never Alone,3JS,Netherlands,Amsterdam,2011,Düsseldorf,"Jaap Kwakman, Jan Dulles, Jaap de Witte","Jaap Kwakman, Jan Dulles, Jaap de Witte",43,52,4,3,19,13,8,5,19,2,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,TROS,1,3,3,44,0,0
392,392,Rusinka,Vlatko Ilievski,North Macedonia,Skopje,2011,Düsseldorf,"Marko Marinkovikj-Slatkaristika, Jovan Jovanov","Grigor Koprov, Vladimir Dojchinovski",43,10,0,11,16,36,10,1,19,6,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,Makedonska Radio Televizija,1,2,2,7,0,0
393,393,Haba Haba,Stella Mwangi,Norway,Oslo,2011,Düsseldorf,Stella Mwangi,Big City/Beyond51,43,49,3,2,17,30,10,1,19,9,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,Norsk rikskringkasting,1,1,1,48,0,0
394,394,Jestem,Magdalena Tul,Poland,Warsaw,2011,Düsseldorf,Magdalena Tul,Magdalena Tul,43,15,0,1,19,18,5,2,19,5,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,Telewizja Polska,1,1,1,10,0,0
395,395,Luta É Alegria,Homens Da Luta,Portugal,Lisbon,2011,Düsseldorf,Jel,Vasco Duarte,43,44,0,16,18,22,8,1,19,6,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,Radiotelevisão Portuguesa,1,1,1,40,0,0
396,396,Change,Hotel FM,Romania,Bucharest,2011,Düsseldorf,"Alexandra Ivan, Gabriel Băruţa",Gabriel Băruţa,43,12,0,14,4,111,12,1,19,17,10,Thursday,1,17,17,77,12,1,25,14,10,Saturday,Televiziunea Română,1,1,2,12,0,0
397,397,Get You,Alexej Vorobjov,Russia,Moscow,2011,Düsseldorf,"Alexej Vorobjov, RedOne, AJ Junior, Bilal ""The Chef"", Eric Sanicola","Alexej Vorobjov, RedOne, AJ Junior, Bilal ""The Chef"", Eric Sanicola",43,14,1,7,9,64,12,1,19,15,10,Tuesday,1,10,16,77,8,1,25,17,10,Saturday,Channel One Russia,1,5,5,14,0,0
398,398,Stand By,Senit,San Marino,City of San Marino,2011,Düsseldorf,Radiosa Romani,Radiosa Romani,43,1,0,12,16,34,8,1,19,8,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,Radio Televisione della Repubblica di San Marino,1,1,1,0,0,0
399,399,Čaroban,Nina,Serbia,Belgrade,2011,Düsseldorf,Kristina Kovač,Kristina Kovač,43,4,1,6,8,67,12,1,19,13,10,Tuesday,1,24,14,85,10,1,25,16,10,Saturday,Radiotelevizija Srbije,1,1,1,3,0,0
400,400,I'm Still Alive,TWiiNS,Slovakia,Bratislava,2011,Düsseldorf,"Bryan Todd, Sandra Nordstrom, Branislav Jancich","Bryan Todd, Sandra Nordstrom, Branislav Jancich",43,5,0,5,13,48,12,3,19,10,10,Thursday,0,-,-,-,-,-,-,-,10,Saturday,STV,1,3,3,3,0,0
401,401,No One,Maja Keuc,Slovenia,Ljubljana,2011,Düsseldorf,Urša Vlašič,Matjaž Vlašič,43,16,0,13,3,112,12,3,19,16,10,Thursday,1,20,13,96,12,1,25,21,10,Saturday,Radiotelevizija Slovenija,1,1,1,10,0,0
402,402,Que Me Quiten Lo Bailao - They Can't Take The Fun Away From Me,Lucía Pérez,Spain,Madrid,2011,Düsseldorf,Rafael Artesero,Rafael Artesero,43,50,2,-,-,-,-,-,-,-,-,-,1,22,23,50,12,1,25,10,10,Saturday,Televisión Española,1,1,1,50,0,0
403,403,Popular,Eric Saade,Sweden,Stockholm,2011,Düsseldorf,Fredrik Kempe,Fredrik Kempe,43,50,4,8,1,155,12,1,19,20,10,Thursday,1,7,3,185,12,1,25,32,10,Saturday,Sveriges Television,1,1,1,49,0,1
404,404,In Love For A While,Anna Rossinelli,Switzerland,Bern,2011,Düsseldorf,David Klein,David Klein,43,52,2,8,10,55,8,2,19,12,10,Tuesday,1,13,25,19,10,4,25,3,10,Saturday,Schweizerische Radio- und Fernsehgesellschaft,1,1,1,45,0,0
405,405,Live It Up,Yüksek Sadakat,Turkey,Ankara,2011,Düsseldorf,Ergün Arsal,Kutlu Özmakinaci,43,32,1,5,13,47,12,1,19,8,10,Tuesday,0,-,-,-,-,-,-,-,10,Saturday,TRT,1,1,1,32,0,0
406,406,Angel,Mika Newton,Ukraine,Kyiv,2011,Düsseldorf,Maryna Skomorohova,Ruslan Kvinta,43,8,1,6,6,81,12,1,19,14,10,Thursday,1,23,4,159,12,2,25,23,10,Saturday,NTU,1,1,1,8,0,0
407,407,I Can,Blue,United Kingdom,London,2011,Düsseldorf,"Ciaron Bell, Ben Collier, Ian Hope, Duncan James, Liam Keenan, Lee Ryan, StarSign","Ciaron Bell, Ben Collier, Ian Hope, Duncan James, Liam Keenan, Lee Ryan, StarSign",43,53,5,-,-,-,-,-,-,-,-,-,1,14,11,100,12,1,25,25,10,Saturday,British Broadcasting Corporation,1,7,7,53,0,0
408,408,It's All About You,Juliana Pasha,Albania,Tirana,2010,Oslo,Ardit Gjebrea & Pirro Çako,Ardit Gjebrea,39,6,0,12,6,76,12,2,17,12,10,Tuesday,1,15,16,62,12,1,25,12,10,Saturday,Radio Televizioni Shqiptar,1,1,1,4,0,0
409,409,Apricot Stone,Eva Rivas,Armenia,Yerevan,2010,Oslo,Karen Kavaleryan,Armen Martirosyan,39,4,0,2,6,83,12,1,17,11,10,Thursday,1,21,7,141,12,1,25,22,10,Saturday,Hayastani Hanrayin herrustaynkerut’yun,1,1,1,4,0,0
410,410,Drip Drop,Safura,Azerbaijan,Baku,2010,Oslo,Sandra Bjurman,"Anders Bagge, Stefan Örn",39,2,0,7,2,113,12,1,17,16,10,Thursday,1,1,5,145,12,1,25,22,10,Saturday,İctimai Televiziya və Radio Yayımları Şirkəti,1,2,1,2,0,0
411,411,Butterflies,3+2,Belarus,Minsk,2010,Oslo,Malka Chaplin,Maxim Fadeev,39,6,0,16,9,59,12,1,17,11,10,Tuesday,1,9,24,18,12,1,25,4,10,Saturday,Belaruskaja Tele-Radio Campanija,1,1,1,1,0,0
412,412,Me And My Guitar,Tom Dice,Belgium,Brussels,2010,Oslo,"Tom Dice, Jeroen Swinnen & Ashley Hicklin","Tom Dice, Jeroen Swinnen & Ashley Hicklin",39,52,1,10,1,167,12,4,17,19,10,Tuesday,1,7,6,143,12,1,25,22,10,Saturday,Vlaamse Radio- en Televisieomroep,1,2,2,45,0,0
